RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
4	1	1	010150	001	004	01	1	1	1	4	1	1	33	1	3	7	2	1	2	1	 	1	 	 	33	1	 	48	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2022	8324	5	1	2	3	 	48	 	 	0	0	 	104	2	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	004	104	1	0	107,040833	4	2
4	1	1	010150	001	004	01	1	1	2	4	1	2	33	2	3	7	2	1	2	2	010950	2	1	010950	23	2	7	24	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2022	9322	6	1	2	3	 	24	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	1	11	1	1	1	1	1	1	1	1	1	1	1	1	004	0	0	0	107,040833	4	2
4	1	1	010150	001	004	01	1	1	3	4	1	3	12	1	3	7	1	1	2	1	 	1	 	 	12	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	004	0	0	0	107,040833	7	 
4	1	1	010150	001	004	01	1	1	4	4	1	3	6	1	3	3	1	 	 	1	 	1	 	 	6	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	004	 	0	0	107,040833	8	 
4	1	1	010150	001	004	01	2	1	1	4	1	1	53	2	3	5	2	1	2	1	 	1	 	 	53	2	3	10	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	112	6113	10	1	1	3	 	10	 	 	0	0	 	16	1	8	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	004	24	0	0	107,040833	1	3
4	1	1	010150	001	004	01	2	1	2	4	1	3	27	2	3	7	2	1	2	1	 	1	 	 	27	1	 	20	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9131	12	1	1	3	4	20	 	 	0	0	 	 	 	0	36	0	36	2	0	0	 	0	2	0	2	0	1	50	1	11	1	1	1	1	1	1	1	1	1	1	1	1	004	36	0	0	107,040833	1	4
4	1	1	010150	001	004	01	2	1	3	4	1	6	8	2	3	3	1	 	 	1	 	1	 	 	8	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	004	 	0	0	107,040833	8	 
4	1	1	010150	001	004	01	2	1	4	4	1	6	7	1	3	2	1	 	 	1	 	1	 	 	7	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	004	 	0	0	107,040833	8	 
4	1	1	010150	001	004	02	1	1	1	5	1	1	59	1	5	5	2	1	2	1	 	1	 	 	59	1	 	50	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5219	5220	4	1	2	3	 	50	 	 	0	0	 	350	1	20	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	012	370	1	0	107,040833	4	2
4	1	1	010150	001	004	02	1	1	2	5	1	2	48	2	5	1	2	1	2	1	 	1	 	 	48	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	5	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	1	20	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	012	0	0	0	107,040833	7	 
