,0
0,area
1,upm
2,p01
3,p02
4,p03
5,p04
6,p05a
7,p05b
8,p06
9,p07
10,p08
11,p08a
12,p09
13,p10a
14,p10b
15,p11
16,p12a
17,p12b
18,p15
19,p15aa
20,p15ab
21,cod_inf
22,p20
23,p21
24,p22
25,p23
26,p231
27,p232
28,p233
29,p24
30,p25
31,p251
32,p26
33,p27
34,p28
35,p29
36,p30
37,p31
38,p32
39,p33
40,p34
41,p341
42,p35
43,p351
44,p36
45,p37
46,p38
47,p381
48,p39
49,p40
50,p41
51,p42
52,p42a
53,p43
54,p44a
55,p44b
56,p44c
57,p44d
58,p44e
59,p44f
60,p44g
61,p44h
62,p44i
63,p44j
64,p44k
65,p45
66,p46
67,p47a
68,p47b
69,p48
70,p49
71,p50
72,p51a
73,p51b
74,p51c
75,p52
76,p53
77,p54
78,p54a
79,p55
80,p56a
81,p56b
82,p57
83,p58
84,p59
85,p60a
86,p60b
87,p60c
88,p60d
89,p60e
90,p60f
91,p60g
92,p60h
93,p60i
94,p60j
95,p60k
96,p61b1
97,p63
98,p64a
99,p64b
100,p65
101,p66
102,p67
103,p68a
104,p68b
105,p69
106,p70a
107,p70b
108,p71a
109,p71b
110,p72a
111,p72b
112,p73a
113,p73b
114,p74a
115,p74b
116,p75
117,p76
118,p77
119,p78
120,sd01
121,sd021
122,sd022
123,sd023
124,sd024
125,sd025
126,sd026
127,sd027
128,sd028
129,sd029
130,sd0210
131,sd0211
132,sd03
133,ced01a
134,estrato
135,fexp
136,ingrl
137,condact
138,secemp
139,empleo
140,desempleo
141,grupo1
142,rama1
143,nnivins
144,periodo
