,region,date,ano,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice,time,kaitz_pre,treated,event_time,event_id,unit_id
0,Amazonía,2001-01-01,2001,1,0.936483579038847,0.622431811668628,0.457419247766508,0.0690758911552907,0.135124081277731,0.197941260761801,31.6347743485746,24.105217634119,85.65,3.55317264917655,1,3.55317264917655,0,-1,0,Amazonía_e0
1,Amazonía,2001-04-01,2001,2,0.976945857629657,0.637632565647104,0.480712188279369,0.0780075801143051,0.15365789886579,0.226438251245355,30.1702391269158,26.2953296459356,85.65,3.25723241173509,2,3.55317264917655,0,0,0,Amazonía_e0
2,Amazonía,2001-07-01,2001,3,0.812079946880389,0.521296652427411,0.374610769140428,0.0668943005908383,0.133573717980953,0.199087272150939,40.9812716853727,28.0286869426006,85.65,3.05579780370735,3,3.55317264917655,0,1,0,Amazonía_e0
3,Amazonía,2001-10-01,2001,4,0.845352188212048,0.554143823749722,0.404344418372274,0.0687229969142656,0.136478525595716,0.202312613114369,37.9826692567987,26.0744866563208,85.65,3.28482018184766,4,3.55317264917655,0,2,0,Amazonía_e0
4,Amazonía,2002-01-01,2002,1,0.533354056977852,0.387240118006063,0.34503546137822,0.177629595201492,0.40053557825482,0.727386547005782,95.7904091557142,62.4726304666013,104.88,1.67881517420769,5,3.55317264917655,0,3,0,Amazonía_e0
5,Amazonía,2002-04-01,2002,2,0.524673116167748,0.373709859435275,0.330651896176333,0.171384273942355,0.387270211974394,0.709627229152408,99.3184543180039,64.9893177702894,104.88,1.6138036772552,6,3.55317264917655,0,4,0,Amazonía_e0
6,Azuay,2001-01-01,2001,1,0.910082730460853,0.619318130631,0.464148780973482,0.0870684498011931,0.17244237445506,0.255116821087737,32.750890975907,25.305750382159,85.65,3.38460621426127,1,3.38460621426127,0,-1,0,Azuay_e0
7,Azuay,2001-04-01,2001,2,0.852846088064482,0.540101615474984,0.406061126600126,0.103237951963855,0.207140721407456,0.308689166877976,43.6567686524915,29.5149866145499,85.65,2.90191559693195,2,3.38460621426127,0,0,0,Azuay_e0
8,Azuay,2001-07-01,2001,3,0.882105096048196,0.562444095611153,0.401520866033254,0.0860443702336462,0.168719158569423,0.248655203816089,39.8613844586091,34.2732332188525,85.65,2.49903472640238,3,3.38460621426127,0,1,0,Azuay_e0
9,Azuay,2001-10-01,2001,4,0.90358262801466,0.589062235907401,0.427210097432369,0.0799484084407097,0.158776666347194,0.235968533407024,36.6109985633589,31.3248565238512,85.65,2.73425035274415,4,3.38460621426127,0,2,0,Azuay_e0
